Event,Bronze,Gold,Silver,Total
Female Archery,4,2,3,9
Female Artistic Gymnastics,7,7,6,20
Female Association Football,18,18,18,54
Female Athletics,26,27,28,81
Female Badminton,3,3,4,10
Female Basketball,12,12,12,36
Female Beach Volleyball,2,2,2,6
Female Bmx,1,1,1,3
Female Canoeing And Kayaking,8,7,6,21
Female Diving,6,2,5,13
Female Equestrian Sport,9,4,7,20
Female Fencing,5,11,10,26
Female Field Hockey,16,16,16,48
Female Freestyle Wrestling,8,4,4,16
Female Handball,14,14,14,42
Female Judo,14,7,7,28
Female Modern Pentathlon,0,1,1,2
Female Mountain Biking,1,1,1,3
Female Rhythmic Gymnastics,7,7,7,21
Female Road Bicycle Racing,2,2,2,6
Female Rowing,18,20,20,58
Female Sailing,7,7,7,21
Female Shooting Sport,6,6,5,17
Female Softball,15,15,15,45
Female Swimming,22,21,20,63
Female Synchronized Swimming,11,9,9,29
Female Table Tennis,4,1,4,9
Female Taekwondo,8,4,4,16
Female Tennis,3,3,3,9
Female Track Cycling,3,3,3,9
Female Trampoline Gymnastics,1,1,1,3
Female Triathlon,1,1,1,3
Female Volleyball,12,12,12,36
Female Water Polo,13,13,13,39
Female Weightlifting,7,7,7,21
Male Archery,4,3,4,11
Male Artistic Gymnastics,12,7,10,29
Male Association Football,18,19,18,55
Male Athletics,29,25,31,85
Male Badminton,4,4,4,12
Male Baseball,24,24,24,72
Male Basketball,12,11,12,35
Male Beach Volleyball,2,2,2,6
Male Bmx,1,1,1,3
Male Boxing,22,11,11,44
Male Canoeing And Kayaking,19,17,17,53
Male Diving,5,5,6,16
Male Equestrian Sport,5,7,6,18
Male Fencing,10,7,11,28
Male Field Hockey,17,17,16,50
Male Freestyle Wrestling,14,7,7,28
Male Greco-Roman Wrestling,13,7,7,27
Male Handball,14,15,14,43
Male Judo,14,7,7,28
Male Modern Pentathlon,1,1,1,3
Male Mountain Biking,1,1,1,3
Male Road Bicycle Racing,2,1,2,5
Male Rowing,27,28,28,83
Male Sailing,11,11,11,33
Male Shooting Sport,9,8,9,26
Male Swimming,21,18,23,62
Male Table Tennis,4,1,4,9
Male Taekwondo,8,4,4,16
Male Tennis,3,3,3,9
Male Track Cycling,13,8,14,35
Male Trampoline Gymnastics,1,1,1,3
Male Triathlon,1,1,1,3
Male Volleyball,12,12,12,36
Male Water Polo,13,13,13,39
Male Weightlifting,8,8,8,24
